customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
7590VHVEG,Female,0,Yes,No,1,No,Nophoneservice,DSL,No,Yes,No,No,No,No,Monthtomonth,Yes,Electroniccheck,29.85,29.85,No
5575GNVDE,Male,0,No,No,34,Yes,No,DSL,Yes,No,Yes,No,No,No,Oneyear,No,Mailedcheck,56.95,1889.5,No
3668QPYBK,Male,0,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Monthtomonth,Yes,Mailedcheck,53.85,108.15,Yes
7795CFOCW,Male,0,No,No,45,No,Nophoneservice,DSL,Yes,No,Yes,Yes,No,No,Oneyear,No,Banktransfer(automatic),42.3,1840.75,No
9237HQITU,Female,0,No,No,2,Yes,No,Fiberoptic,No,No,No,No,No,No,Monthtomonth,Yes,Electroniccheck,70.7,151.65,Yes
9305CDSKC,Female,0,No,No,8,Yes,Yes,Fiberoptic,No,No,Yes,No,Yes,Yes,Monthtomonth,Yes,Electroniccheck,99.65,820.5,Yes
1452KIOVK,Male,0,No,Yes,22,Yes,Yes,Fiberoptic,No,Yes,No,No,Yes,No,Monthtomonth,Yes,Creditcard(automatic),89.1,1949.4,No
6713OKOMC,Female,0,No,No,10,No,Nophoneservice,DSL,Yes,No,No,No,No,No,Monthtomonth,No,Mailedcheck,29.75,301.9,No
7892POOKP,Female,0,Yes,No,28,Yes,Yes,Fiberoptic,No,No,Yes,Yes,Yes,Yes,Monthtomonth,Yes,Electroniccheck,104.8,3046.05,Yes
6388TABGU,Male,0,No,Yes,62,Yes,No,DSL,Yes,Yes,No,No,No,No,Oneyear,No,Banktransfer(automatic),56.15,3487.95,No
9763GRSKD,Male,0,Yes,Yes,13,Yes,No,DSL,Yes,No,No,No,No,No,Monthtomonth,Yes,Mailedcheck,49.95,587.45,No
7469LKBCI,Male,0,No,No,16,Yes,No,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Twoyear,No,Creditcard(automatic),18.95,326.8,No
8091TTVAX,Male,0,Yes,No,58,Yes,Yes,Fiberoptic,No,No,Yes,No,Yes,Yes,Oneyear,No,Creditcard(automatic),100.35,5681.1,No
0280XJGEX,Male,0,No,No,49,Yes,Yes,Fiberoptic,No,Yes,Yes,No,Yes,Yes,Monthtomonth,Yes,Banktransfer(automatic),103.7,5036.3,Yes
5129JLPIS,Male,0,No,No,25,Yes,No,Fiberoptic,Yes,No,Yes,Yes,Yes,Yes,Monthtomonth,Yes,Electroniccheck,105.5,2686.05,No
3655SNQYZ,Female,0,Yes,Yes,69,Yes,Yes,Fiberoptic,Yes,Yes,Yes,Yes,Yes,Yes,Twoyear,No,Creditcard(automatic),113.25,7895.15,No
8191XWSZG,Female,0,No,No,52,Yes,No,No,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Nointernetservice,Oneyear,No,Mailedcheck,20.65,1022.95,No
9959WOFKT,Male,0,No,Yes,71,Yes,Yes,Fiberoptic,Yes,No,Yes,No,Yes,Yes,Twoyear,No,Banktransfer(automatic),106.7,7382.25,No
4190MFLUW,Female,0,Yes,Yes,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Monthtomonth,No,Creditcard(automatic),55.2,528.35,Yes
