account_id,last_month_balance,city,gender,job,month,active_income,passive_income
bh1b7a7e,310000,Kotamobagu,female,Cruise line worker,5,4560000,0
cd3a4c5c,6000,Pariaman,male,Software Architect,5,4940000,0
cg7a1a1i,104000,Semarang,female,Au pair,5,6840000,0
fc2i7b7d,23000,Bengkulu,female,Truck driver,5,7220000,0
ff1g8d4h,11000,Gunungsitoli,female,Camp counselor,5,3040000,0
fh3j0a2h,257000,Ternate,female,Barista,5,3040000,0
ga4h3d7f,6000,Bogor,female,Physical therapists,5,10260000,0
bb7f3i2i8,2000,Sukabumi,female,Teacher/tutor,5,5320000,0
bh7e0g4a5,4000,Sukabumi,male,Data Scientist,5,14060000,0
ca8j3g6h4,4826000,Semarang,female,Mobile Developer,5,5320000,0
cd3d5e5b2,68000,Tual,male,Stock clerk,5,1900000,0
cj6b9i1b3,9000,Tasikmalaya,female,Lead engineer,5,5700000,0
di6e4f7a7,129000,Bogor,male,Flight attendant,5,2280000,0
dj4e1a4a2,4000,Bengkulu,male,Translator,5,2660000,0
ec8e8g1f2,33000,Sorong,male,Teacher/tutor,5,5320000,0
fc6e5f6e1,277000,South Jakarta,female,Nurse practitioners,5,11400000,0
gb8b5c7b5,7000,Yogyakarta,female,Physician assistants,5,7980000,0
gf2e1i1i2,50000,Tanjungbalai,male,Flight attendant,5,2280000,0
gh3h2e1d5,80000,Sawahlunto,female,Flight attendant,5,2280000,0
gi0i8b7h7,8000,Tasikmalaya,female,Waiter/waitress,5,2280000,0
gj1f5h1f6,3000,Metro,female,Software QA engineer,5,7980000,0
hb3d7f1a4,24000,Banjar,male,Travel agent,5,2660000,0
hc6a1g9g2,25000,East Jakarta,female,Flight attendant,5,2280000,0
hf4j2g6i3,45000,Tanjung Pinang,male,Nurse practitioners,5,11400000,0
hf8e1e9e1,20000,Kupang,male,Commercial divers,5,1520000,0
hg9a5h0b2,5000,Ternate,male,Senior java developer,5,10260000,0
hh1e9a6b7,78000,Baubau,male,Software Architect,5,4940000,0
hh4e9c4b1,102883000,Bitung,male,Retail sales,5,1900000,0
hi7h8f8f2,7232000,East Jakarta,female,Cashier,5,2280000,0
ic8e2f4i4,9000,Solok,male,Truck driver,5,7220000,0
ii0g6g1d3,155000,Kendari,female,Senior java developer,5,10260000,0
ij5i9e8c4,2000,Bukittinggi,female,Stock clerk,5,1900000,0
ja8g5f5f9,173000,Baubau,male,Call center representative,5,5320000,0
jb3b8j1a9,102000,Sorong,female,Camp counselor,5,3040000,0
jd3f0a0g3,9000,Malang,male,Retail sales,5,1900000,0
je5e5g4i6,88000,Palopo,male,Medical transcriptionist,5,2660000,0
ji8a9h0i1,137000,Sabang,female,Flight attendant,5,2280000,0
ba1d5i6e8c,8000,Subulussalam,female,Cruise line worker,5,4560000,0
ba2b9e8h9h,63000,Jayapura,male,Lead developer,5,5700000,0
ba3d0i6b1j,2000,Subulussalam,female,Franchise owner,5,3420000,0
ba4c5c8d3i,69000,Baubau,male,Data Scientist,5,14060000,0
ba7a1h0b5c,103000,Padang,female,Flight attendant,5,2280000,0
ba7h0i6b4a,4000,Pontianak,male,Statisticians,5,11020000,0
ba7h6i6e9d,235000,Surabaya,male,Au pair,5,6840000,0
ba8d8i1i8i,40000,Batu,female,Cruise line worker,5,4560000,0
ba9j8b4c5c,29000,Pasuruan,female,Traveling nurse,5,6080000,0
bb2j3e3i6a,217000,Makassar,male,Cruise line worker,5,4560000,0
bb3j7i3f8f,5197000,Tual,male,Cruise line worker,5,4560000,0
bb4d9b3f6c,14000,Surakarta,female,Traveling nurse,5,6080000,0
bb6i8i9h9j,1000,Serang,male,UX Designer,5,7600000,0
bc0b8h8j8e,19000,Manado,female,Recruiter,5,7980000,0
bc2b2b7h8j,6000,Sukabumi,male,Medical transcriptionist,5,2660000,0
bc3g2h1i5d,6000,Salatiga,female,Commercial divers,5,1520000,0
bc8h2d5j6i,2000,Makassar,female,English as a second language (ESL) teacher,5,2660000,0
bd1b7b9b5i,23000,Kupang,male,Cashier,5,2280000,0
bd7b5b5d9b,30000,Tasikmalaya,female,Chief technology officer,5,5320000,0
bd7e6h3h9c,25000,Padang,female,Cashier,5,2280000,0
be0c8c2c7j,264000,Baubau,male,Web developer/designer,5,1900000,0
